house,test_ratio,sampling_ratio,feature_length,accuracy
r3,0.4,10,600,0.606451612903
r3,0.4,10,900,0.674157303371
r3,0.4,10,1800,0.622483221477
r3,0.4,10,3600,0.514950166113
r3,0.4,30,300,0.668072289157
r3,0.4,30,600,0.637382075472
r3,0.4,30,900,0.811795316565
r3,0.4,30,1800,0.752941176471
r3,0.4,30,3600,0.528239202658
r3,0.4,60,300,0.653741290518
r3,0.4,60,600,0.773104265403
r3,0.4,60,900,0.762859633827
r3,0.4,60,1800,0.732323232323
r3,0.4,60,3600,0.514950166113
r3,0.4,300,900,0.413636363636
r3,0.4,300,1800,0.648788927336
r3,0.4,300,3600,0.468438538206
r3,0.4,600,1800,0.797491039427
r3,0.4,600,3600,0.676870748299
r3,0.4,900,3600,0.754266211604
r3,0.5,1,300,0.999047165317
r3,0.5,1,600,0.203176085941
r3,0.5,1,900,0.344115622849
r3,0.5,1,1800,0.479194630872
r3,0.5,1,3600,0.43085106383
r3,0.5,5,300,0.75651135006
r3,0.5,5,600,0.699906367041
r3,0.5,5,900,0.527260179434
r3,0.5,5,1800,0.484563758389
r3,0.5,5,3600,0.398936170213
r3,0.5,10,300,0.596928982726
r3,0.5,10,600,0.60769591741
r3,0.5,10,900,0.546334716459
r3,0.5,10,1800,0.506040268456
r3,0.5,10,3600,0.48670212766
r3,0.5,30,300,0.672530120482
r3,0.5,30,600,0.73820754717
r3,0.5,30,900,0.467036780014
r3,0.5,30,1800,0.621803499327
r3,0.5,30,3600,0.476063829787
r3,0.5,60,300,0.771934076587
r3,0.5,60,600,0.663507109005
r3,0.5,60,900,0.532775453278
r3,0.5,60,1800,0.592193808883
r3,0.5,60,3600,0.420212765957
r3,0.5,300,900,0.758369723435
r3,0.5,300,1800,0.536011080332
r3,0.5,300,3600,0.465425531915
r3,0.5,600,1800,0.530846484935
r3,0.5,600,3600,0.513586956522
r3,0.5,900,3600,0.573770491803
r3,0.6,1,300,0.716894977169
r3,0.6,1,600,0.867704280156
r3,0.6,1,900,0.996559633028
r3,0.6,1,1800,0.704697986577
r3,0.6,1,3600,0.849557522124
r3,0.6,5,300,0.557546794106
r3,0.6,5,600,0.586031993757
r3,0.6,5,900,0.780333525014
r3,0.6,5,1800,0.651006711409
r3,0.6,5,3600,0.738938053097
r3,0.6,10,300,0.675929628149
r3,0.6,10,600,0.684004693
r3,0.6,10,900,0.540898617512
r3,0.6,10,1800,0.663310961969
r3,0.6,10,3600,0.772123893805
r3,0.6,30,300,0.770682730924
r3,0.6,30,600,0.73820754717
r3,0.6,30,900,0.756069364162
r3,0.6,30,1800,0.720852017937
r3,0.6,30,3600,0.630530973451
r3,0.6,60,300,0.638052918602
r3,0.6,60,600,0.707345971564
r3,0.6,60,900,0.633933759442
r3,0.6,60,1800,0.484848484848
r3,0.6,60,3600,0.79203539823
r3,0.6,300,900,0.725894481504
r3,0.6,300,1800,0.664359861592
r3,0.6,300,3600,0.630530973451
r3,0.6,600,1800,0.52449223417
r3,0.6,600,3600,0.646258503401
r3,0.6,900,3600,0.727272727273
r3,0.7,1,300,0.364471669219
r3,0.7,1,600,0.690793862575
r3,0.7,1,900,0.37199017199
r3,0.7,1,1800,0.66251198466
r3,0.7,1,3600,0.417457305503
r3,0.7,5,300,0.697217955282
r3,0.7,5,600,0.666220735786
r3,0.7,5,900,0.501972386588
r3,0.7,5,1800,0.530201342282
r3,0.7,5,3600,0.512333965844
r3,0.7,10,300,0.665867032214
r3,0.7,10,600,0.773047267851
r3,0.7,10,900,0.553086419753
r3,0.7,10,1800,0.600191754554
r3,0.7,10,3600,0.53320683112
r3,0.7,30,300,0.738554216867
r3,0.7,30,600,0.654533198517
r3,0.7,30,900,0.572844400396
r3,0.7,30,1800,0.54851104707
r3,0.7,30,3600,0.508538899431
r3,0.7,60,300,0.769736842105
r3,0.7,60,600,0.765741367637
